Name,Level,Logo URL,Slug,Categories,Website,Chair,TAC Representative,Documentation,Calendar,Artwork,iCal,LFX Insights URL,Accepted Date,Last Review Date,Next Review Date,Slack URL,Chat Channel,Mailing List,Github Org,Best Practices Badge ID,Primary Github Repo,Contributed By
Digital Substations SIG,sig,https://lfenergy.landscape2.io/logos/aea47817db8cde0a2553ff7a15e5f0a306e1b39ff0542245248a381523d32786.svg,dsas-working-group,"LF Energy Projects / SIG,Energy Systems / Distribution and Grids",https://lf-energy.atlassian.net/wiki/spaces/DSS/overview,"Jos Zenner, Maxime Pelletier",,,https://zoom-lfx.platform.linuxfoundation.org/meetings/dsas-working-group,https://artwork.lfenergy.org/projects/dsas-working-group,https://webcal.prod.itx.linuxfoundation.org/lfx/lfpCA15JFR1zaCoga4,https://insights.linuxfoundation.org/project/dsas-working-group,2024-04-02,,2025-12-09,,,,,,,
Dynaωo,incubating,https://lfenergy.landscape2.io/logos/ad90899728ebedb1cb1e2bf9ebe38f62c9bdc25a758d3f003012e211d2dc1d6f.svg,dynawo,"LF Energy Projects / Incubating,SIG / Grid Simulation and Modeling,Transmission / Modeling and Simulation,System Management / Power System Calculation,Energy Systems / Modeling and Optimization",https://dynawo.github.io/,Marco Chiaramello,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/dynawo,https://artwork.lfenergy.org/projects/dynawo,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001NYCPZQA5,https://insights.linuxfoundation.org/project/dynawo,2023-11-30,2024-01-30,2025-10-01,https://slack.lfenergy.org,#dynawo,https://lists.lfenergy.org/g/dynawo,,,https://github.com/dynawo/dynawo,RTE
EV Charging SIG,sig,https://lfenergy.landscape2.io/logos/dd01e0a0b218655a4964c57c6da6a2e6143f2d1d64253c955e6532f945ce83c7.svg,ev-charging-sig,"LF Energy Projects / SIG,Consumption of Energy and Resources / Mobility and Transportation",https://lf-energy.atlassian.net/wiki/spaces/ECS/overview,"Robert De Leeuw, Thana Paris",,,https://zoom-lfx.platform.linuxfoundation.org/meetings/ev-charging-sig,https://artwork.lfenergy.org/projects/ev-charging-sig,https://webcal.prod.itx.linuxfoundation.org/lfx/lf4h91oxXEK4GQJnaj,https://insights.linuxfoundation.org/project/ev-charging-sig,2024-06-24,,2026-01-13,,,,,,,
EVerest,earlyadoption,https://lfenergy.landscape2.io/logos/f98ddd5af2fbdf5a8e65443eef7a6bba1572ccc5c4bffab2dec8ba002f0851c0.svg,everest,"LF Energy Projects / Early Adoption,SIG / EV Charging,Behind-the-Meter / EV Charging,Consumption of Energy and Resources / Mobility and Transportation",https://lfenergy.org/projects/everest/,Marco Möller,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/everest,https://artwork.lfenergy.org/projects/everest,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001LkEVlQAN,https://insights.linuxfoundation.org/project/everest,2022-02-09,2025-01-22,2026-01-28,https://slack.lfenergy.org,#everest,https://lists.lfenergy.org/g/everest,,,https://github.com/EVerest/EVerest,"PIONIX, chargebyte, qwello, JOET, Accenture"
FIDOPower,sandbox,https://lfenergy.landscape2.io/logos/6e6f0197502540d1a1d7e0971b19dfbb724db9d7d4e426957d8ac5f6d34a1586.svg,fidopower,"LF Energy Projects / Sandbox,SIG / Grid Simulation and Modeling",https://fidopower.energy/,David Chassin,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/fidopower,https://artwork.lfenergy.org/projects/fidopower,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001NYCPUQA5,https://insights.linuxfoundation.org/project/fidopower,2024-01-03,2025-06-04,2026-06-03,,,,https://github.com/fidopower,,https://github.com/fidopower/.github,
FledgePower,incubating,https://lfenergy.landscape2.io/logos/adf6ff990bdcdfc3874e06a0f971040040e69a9dbc4dc4ae45e97d6e83a0fe31.svg,fledgepower,"LF Energy Projects / Incubating,SIG / Digital Substations,Transmission / Data & IoT,Distribution / Data & IoT,Behind-the-Meter / Data & IoT,Acquisition and Control / Communication Infrastructure,Energy Systems / Modeling and Optimization",https://www.lfenergy.org/projects/fledgepower/,Romain Lebrun Thauront,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/fledgepower,https://artwork.lfenergy.org/projects/fledgepower,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001KWhUTQA1,https://insights.linuxfoundation.org/project/fledgepower,2021-02-16,2024-06-04,2025-05-13,https://slack.lfenergy.org,#fledgepower,https://lists.lfenergy.org/g/Fledgepower-General,,,https://github.com/fledge-power/contributing,"RTE, Dianomics, AVEVA"
FlexMeasures,incubating,https://lfenergy.landscape2.io/logos/1b83d297f5e9a6d22b562efdf193142fe4c9bc720aced58f25e4c7fa3f9748a9.svg,flexmeasures,"LF Energy Projects / Incubating,SIG / No SIG,Behind-the-Meter / Flexibility,Asset Management / Data Management,Energy Systems / Monitoring and Control",https://flexmeasures.io/,Nicolas Höning,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/flexmeasures,https://artwork.lfenergy.org/projects/flexmeasures,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001LkH4sQAF,https://insights.linuxfoundation.org/project/flexmeasures,2022-01-05,2024-11-20,2025-11-11,https://slack.lfenergy.org,#flexmeasures,https://lists.lfenergy.org/g/flexmeasures,,,https://github.com/SeitaBV/flexmeasures,Seita
Grid Edge Interoperability & Security Alliance (GEISA),sandbox,https://lfenergy.landscape2.io/logos/39ca0b5a9cb10285e606a02c1787c68d1aae73bf84b189c368eccfd5fd3631d0.svg,geisa,"LF Energy Projects / Sandbox,SIG / No SIG,Distribution / Grid Edge,Customer and Market / Customer Relationship and Communication,Energy Systems / Monitoring and Control",https://lfenergy.org/projects/geisa/,"Michael Stuber, Richard Lam",,,https://zoom-lfx.platform.linuxfoundation.org/meetings/geisa,https://artwork.lfenergy.org/projects/geisa,https://webcal.prod.itx.linuxfoundation.org/lfx/lf9JyPreYpr2H4waXR,https://insights.linuxfoundation.org/project/geisa,2024-11-05,,2025-10-14,,,,https://github.com/geisa,,https://github.com/geisa/conformance,
Grid eXchange Fabric (GXF),earlyadoption,https://lfenergy.landscape2.io/logos/03afc99c46b4322f298d715ba8f57caa22785a7433c875d93806f41ca2b17f31.svg,grid-exchange-fabric,"LF Energy Projects / Early Adoption,SIG / No SIG,Transmission / Data & IoT,Distribution / Data & IoT,Behind-the-Meter / Data & IoT,Energy Systems / Distribution and Grids",https://www.lfenergy.org/projects/gxf/,Maarten Mulder,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/grid-exchange-fabric,https://artwork.lfenergy.org/projects/grid-exchange-fabric,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001JWs7KQAT,https://insights.linuxfoundation.org/project/grid-exchange-fabric,2020-02-04,2025-07-08,2026-07-14,https://slack.lfenergy.org,#gxf,https://lists.lfenergy.org/g/gxf,https://github.com/OSGP,,https://github.com/OSGP/Documentation,Alliander
Grid Simulation and Modeling SIG,sig,https://lfenergy.landscape2.io/logos/892254cafd2d28eae31285c95358543532fdf61aa6e7ba2c31402fd8e11665d8.svg,lfenergy-grid-simulation-and-modeling-sig,"LF Energy Projects / SIG,Energy Systems / Modeling and Optimization",https://lf-energy.atlassian.net/wiki/spaces/GSMS/overview,Thomas Van Dijk,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/lfenergy-grid-simulation-and-modeling-sig,https://artwork.lfenergy.org/projects/lfenergy-grid-simulation-and-modeling-sig,https://webcal.prod.itx.linuxfoundation.org/lfx/lfeQFSWBGgyaXAeg4r,https://insights.linuxfoundation.org/project/lfenergy-grid-simulation-and-modeling-sig,2024-07-24,,2026-01-13,,,,,,,
Grid Vantage,sandbox,https://lfenergy.landscape2.io/logos/0497be08c1d5cf976479e2a8053ea779becb78ed767820091c40ee439788f79d.svg,gridvantage,"LF Energy Projects / Sandbox,SIG / Grid Simulation and Modeling,Distribution / Modeling and Simulation,Transmission / Modeling and Simulation,Energy Systems / Modeling and Optimization",https://gridvantage.energy/,Alyona Teyber,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/gridvantage,https://artwork.lfenergy.org/projects/gridvantage,https://webcal.prod.itx.linuxfoundation.org/lfx/lfYw7SMxNrSMczS0vr,https://insights.linuxfoundation.org/project/gridvantage,2023-09-26,2023-09-26,2025-06-04,,,,https://github.com/grid-vantage,,https://github.com/grid-vantage/grip-absorption-pipeline,SLAC
Grid2Op,sandbox,https://lfenergy.landscape2.io/logos/6a6c9abe8ce3a7fb2066b8fe209209d0da89b5d6688bb2f18aa5b99aabdc3718.svg,grid2op,"LF Energy Projects / Sandbox,SIG / No SIG,Distribution / Modeling and Simulation,Transmission / Modeling and Simulation,Energy Systems / Modeling and Optimization",https://grid2op.energy/,Benjamin Donnot,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/grid2op,https://artwork.lfenergy.org/projects/grid2op,https://webcal.prod.itx.linuxfoundation.org/lfx/lfa2ShNF11eLkCwHDn,https://insights.linuxfoundation.org/project/grid2op,2025-02-11,2025-02-11,2026-02-10,,,,https://github.com/Grid2op,,https://github.com/Grid2op/grid2op,
GridFM,sandbox,https://lfenergy.landscape2.io/logos/0d580f0984bde54a5169213d8a7971d31d7090e96b6aff02784fd7177839d58e.svg,gridfm,"LF Energy Projects / Sandbox,SIG / No SIG,Distribution / Modeling and Simulation,Transmission / Modeling and Simulation,Energy Systems / Modeling and Optimization",https://lfenergy.org/projects/gridfm/,François Mirallès,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/gridfm,https://artwork.lfenergy.org/projects/gridfm,https://webcal.prod.itx.linuxfoundation.org/lfx/lfGFeSdSUJqLdBHTBZ,https://insights.linuxfoundation.org/project/gridfm,2024-11-11,2024-10-29,2025-10-14,,,,,,https://github.com/gridfm-energy/gridfm-data-zoo,
Hyphae,incubating,https://lfenergy.landscape2.io/logos/53f20a8ef0c57b80b13eea3e95288c2e40bc88e14ad3a53d7f50b150c86269bc.svg,hyphae,"LF Energy Projects / Incubating,SIG / No SIG,Energy Systems / Modeling and Optimization,Acquisition and Control / Edge Node Control",https://www.lfenergy.org/projects/hyphae/,Arila Barnes,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/hyphae,https://artwork.lfenergy.org/projects/hyphae,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001KWhUOQA1,https://insights.linuxfoundation.org/project/hyphae,2021-02-16,2025-02-11,2026-02-10,https://slack.lfenergy.org,#hyphae,https://lists.lfenergy.org/g/hyphae-general,https://github.com/hyphae,,https://github.com/hyphae/APIS,
LF Energy Semantic Energy Framework (LFE-SEF),sandbox,https://lfenergy.landscape2.io/logos/461329c6a19a4127253bd7fc86dafb65466016b5496d623e7e54f3cd053002f1.svg,lfe-sef,"LF Energy Projects / Sandbox,SIG / No SIG",https://lfe-sef.energy/,,,,,https://artwork.lfenergy.org/projects/lfe-sef,,https://insights.linuxfoundation.org/project/lfe-sef,2024-04-23,2024-04-23,2026-03-10,,,,,,,
NODE Collective,sandbox,https://lfenergy.landscape2.io/logos/601639fc6edc6bdd5f4626858e0692ed29ddc27d85a11ba492a1c81a508a9e31.svg,node-collective,"LF Energy Projects / Sandbox,SIG / No SIG,Behind-the-Meter / Market Data,Customer and Market / Market Platform Gateway",https://www.nodecollective.org/,Deandrea Salvador,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/node-collective,https://artwork.lfenergy.org/projects/node-collective,https://webcal.prod.itx.linuxfoundation.org/lfx/lfteqdawq12KhVQ5JD,https://insights.linuxfoundation.org/project/node-collective,2024-04-02,2024-04-02,2025-09-02,,,,https://github.com/NODE-Collective,,https://github.com/NODE-Collective/specification,
OpenDSM,incubating,https://lfenergy.landscape2.io/logos/fcabf6eef07f96bb1108ba84a64b2802537b56f9b3a7d3430d672d3f92a5851e.svg,opendsm,"LF Energy Projects / Incubating,SIG / No SIG,Distribution / Grid Edge,Customer and Market / Customer Relationship and Communication,Energy Systems / Monitoring and Control",https://lfenergy.org/projects/opendsm/,Travis Sikes,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/opendsm,https://artwork.lfenergy.org/projects/opendsm,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001IV4IkQAL,https://insights.linuxfoundation.org/project/opendsm,2019-06-04,2025-05-13,2026-05-12,https://slack.lfenergy.org,#openeemeter,https://lists.lfenergy.org/g/openeemeter,https://github.com/opendsm,,https://github.com/opendsm/opendsm,Recurve
OpenLEADR,incubating,https://lfenergy.landscape2.io/logos/33e05b03ea632aef932b23b7013806296593040d9c22b829109c04098fa49165.svg,openleadr,"LF Energy Projects / Incubating,SIG / EV Charging,Distribution / Operations,Behind-the-Meter / Flexibility,Acquisition and Control / Edge Node Control,Energy Systems / Distribution and Grids",https://www.lfenergy.org/projects/openleadr/,"Arila Barnes, Stan Janssen, Hugo Van De Pol",,,https://zoom-lfx.platform.linuxfoundation.org/meetings/openleadr,https://artwork.lfenergy.org/projects/openleadr,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001IV4IuQAL,https://insights.linuxfoundation.org/project/openleadr,2021-08-03,2025-06-10,2026-06-24,https://slack.lfenergy.org,#openleadr,https://lists.lfenergy.org/g/openleadr,https://github.com/OpenLEADR,,https://github.com/OpenLEADR/openleadr-rs,
OpenSTEF,incubating,https://lfenergy.landscape2.io/logos/835042272f472cd70492468bc85ffc65fb0021c1c05be3fc652cf306ab6eaab4.svg,openstef,"LF Energy Projects / Incubating,SIG / Grid Simulation and Modeling,Distribution / Modeling and Simulation,Transmission / Modeling and Simulation,System Management / Power System Calculation,Energy Systems / Modeling and Optimization",https://openstef.github.io/openstef/index.html,Daan Van Es,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/openstef,https://artwork.lfenergy.org/projects/openstef,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001LkC68QAF,https://insights.linuxfoundation.org/project/openstef,2022-02-28,2025-02-05,2026-02-04,https://slack.lfenergy.org,#openstef,https://lists.lfenergy.org/g/openstef,https://github.com/OpenSTEF,,https://github.com/OpenSTEF/openstef,
OpenSynth,sandbox,https://lfenergy.landscape2.io/logos/2ed2c118ca12d96c61ab2dffc2a5bbc531baad78cb05b2247a0ee5eabee25704.svg,opensynth,"LF Energy Projects / Sandbox,SIG / No SIG,Distribution / Grid Edge,Sustainable Development / Data Catalogs and Interfaces",https://github.com/OpenSynth-energy/OpenSynth,Gus Chadney,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/opensynth,https://artwork.lfenergy.org/projects/opensynth,https://webcal.prod.itx.linuxfoundation.org/lfx/lfKqhzuw4MXzjV5tBN,https://insights.linuxfoundation.org/project/opensynth,2024-07-29,2025-03-11,2026-03-10,,,,,,https://github.com/OpenSynth-energy/OpenSynth,
OperatorFabric,earlyadoption,https://lfenergy.landscape2.io/logos/3526588db614d6e71f8f011c188e84af21d20bdb4987f5b489f25a955a4d62e6.svg,operator-fabric,"LF Energy Projects / Early Adoption,SIG / No SIG,Transmission / Operations,Distribution / Operations,Shared / Unified Operator's UX Components and Framework,Energy Systems / Monitoring and Control",https://www.lfenergy.org/projects/operatorfabric/,Frédéric Didier,Clément Bouvier,,https://zoom-lfx.platform.linuxfoundation.org/meetings/operator-fabric,https://artwork.lfenergy.org/projects/operator-fabric,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001If869QAB,https://insights.linuxfoundation.org/project/operator-fabric,2019-04-30,2024-07-16,2025-09-02,https://slack.lfenergy.org,#operator-fabric,https://lists.lfenergy.org/g/opfab,https://github.com/opfab,,https://github.com/opfab/operatorfabric-core,
ORES (Open Renewal Energy Systems),sandbox,https://lfenergy.landscape2.io/logos/fcf8a04603043982a5bc37fa262f6349889ebb05b03e6c0582898426c613eed2.svg,ores-open-renewal-energy-systems,"LF Energy Projects / Sandbox,SIG / No SIG,Behind-the-Meter / Flexibility,Shared / Systems Governance",https://ores.energy/,Chris Xie,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/ores-open-renewal-energy-systems,https://artwork.lfenergy.org/projects/ores-open-renewal-energy-systems,https://webcal.prod.itx.linuxfoundation.org/lfx/lfn16C1T8IdKmEtdUv,https://insights.linuxfoundation.org/project/ores-open-renewal-energy-systems,2024-03-12,2025-04-08,2026-04-14,,,,https://github.com/open-renewable-energy-systems,,https://github.com/open-renewable-energy-systems/ores,
Power Grid Model,incubating,https://lfenergy.landscape2.io/logos/05dedcd89662576a1abb9cc31d5cf8c9226d44a894c5c071488302c3b2d5bbdc.svg,powergridmodel,"LF Energy Projects / Incubating,SIG / Grid Simulation and Modeling,Distribution / Modeling and Simulation,Distribution / Operations,System Management / Power System Calculation,Energy Systems / Modeling and Optimization",https://github.com/PowerGridModel,Peter Salemink,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/powergridmodel,https://artwork.lfenergy.org/projects/powergridmodel,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001NYCPLQA5,https://insights.linuxfoundation.org/project/powergridmodel,2023-09-21,2025-02-05,2026-02-04,https://slack.lfenergy.org,#powergridmodel,https://lists.lfenergy.org/g/powergridmodel,https://github.com/PowerGridModel,,https://github.com/PowerGridModel/power-grid-model,
PowSyBL,earlyadoption,https://lfenergy.landscape2.io/logos/6864b85a98f6baa1187deb42fc1f510ef92662bd6bb516fcaa9e13b32b71a6c9.svg,powsybl,"LF Energy Projects / Early Adoption,Transmission / Modeling and Simulation,System Management / Power System Calculation,Energy Systems / Modeling and Optimization",https://powsybl.org/,Sophie Frasnedo,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/powsybl,https://artwork.lfenergy.org/projects/powsybl,https://webcal.prod.itx.linuxfoundation.org/lfx/lfDVCEHOD7BbGCdYoI,https://insights.linuxfoundation.org/project/powsybl,2025-05-14,2024-12-04,2025-12-03,https://powsybl.slack.com,none,https://lists.lfenergy.org/g/powsybl,https://github.com/powsybl,,https://github.com/powsybl/powsybl-starter,"RTE, Artelys"
Real Time Data Ingestion Platform (RTDIP),sandbox,https://lfenergy.landscape2.io/logos/2ff1b829d266a20aa0114ac99297e0f066b2250756d05160b302b6cf2cc46cf8.svg,rtdip,"LF Energy Projects / Sandbox,SIG / No SIG,Distribution / Data & IoT,Transmission / Data & IoT,Behind-the-Meter / Data & IoT,System Management / Data Management,Energy Systems / Distribution and Grids",https://www.rtdip.io/,Bryce Bartmann,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/rtdip,https://artwork.lfenergy.org/projects/rtdip,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001L1HmxQAF,https://insights.linuxfoundation.org/project/rtdip,2024-06-04,2025-07-08,2026-07-14,https://slack.lfenergy.org,#rtdip,https://lists.lfenergy.org/g/rtdip-discussion,https://github.com/rtdip,,https://github.com/rtdip/core,
SC Decarbonisation Hub,sandbox,https://lfenergy.landscape2.io/logos/fb289576699e6033b4279afcf65eb78195946e7c1b14fd0817e0e1e5eef342d0.svg,sc-decarbonisation-hub,"LF Energy Projects / Sandbox,SIG / No SIG,Other / Carbon Accounting,Emissions / Carbon Intensity and Accounting",https://lfenergy.org/projects/sc-decarbonisation-hub/,Sachin Bhakar,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/sc-decarbonisation-hub,https://artwork.lfenergy.org/projects/sc-decarbonisation-hub,https://webcal.prod.itx.linuxfoundation.org/lfx/lfLxmTMlwn9Fj9aCbx,https://insights.linuxfoundation.org/project/sc-decarbonisation-hub,2024-09-17,,2025-11-11,,,,https://github.com/sc-decarbonization-hub,,https://github.com/sc-decarbonization-hub/SCDHApi,
